XCoord,YCoord,POINT_X,POINT_Y
1377165.31435183,1132503.47267361,1377165.314350,1132503.472670
1377386.66851851,1132530.81642361,1377386.668520,1132530.816420
1377649.68935189,1132560.76434028,1377649.689350,1132560.764340
1377726.51226853,1132585.50392362,1377726.512270,1132585.503920
1377863.23101853,1132573.78517362,1377863.231020,1132573.785170
1378057.24143523,1132655.81642361,1378057.241440,1132655.816420
1378203.07476854,1132620.66017362,1378203.074770,1132620.660170
1378325.47060189,1132560.76434028,1378325.470600,1132560.764340
1378399.68935183,1132477.43100695,1378399.689350,1132477.431010
1378475.21018519,1132576.38934027,1378475.210190,1132576.389340
1378580.67893523,1132551.64975695,1378580.678940,1132551.649760
1378749.94976853,1132286.02475694,1378749.949770,1132286.024760
1378905.39627081,1132294.84267221,1378905.396270,1132294.842670
1378945.54384027,1132250.35482499,1378945.543840,1132250.354820
1378885.86502081,1132137.50760278,1378885.865020,1132137.507600
1378906.48134027,1132074.57357499,1378906.481340,1132074.573570
1379049.71050695,1132068.06315833,1379049.710510,1132068.063160
1379273.23481248,1132102.78538056,1379273.234810,1132102.785380
1379396.93272917,1132115.80621390,1379396.932730,1132115.806210
1379573.79904862,1132199.35656112,1379573.799050,1132199.356560
1379753.92057638,1132244.92947778,1379753.920580,1132244.929480
1379950.31814584,1132354.52149166,1379950.318150,1132354.521490
1380155.39627083,1132421.79579723,1380155.396270,1132421.795800
1380273.66884029,1132507.51628332,1380273.668840,1132507.516280
1380376.75043751,1132656.17079723,1380376.750440,1132656.170800
1380452.70529859,1132818.93121389,1380452.705300,1132818.931210
1377163.64279860,1130315.35048473,1377163.642800,1130315.350480
1377230.48307636,1130260.66298471,1377230.483080,1130260.662980
1377331.17752084,1130133.92687361,1377331.177520,1130133.926870
1377318.15668753,1129971.60048471,1377318.156690,1129971.600480
1377313.81640975,1129908.23242916,1377313.816410,1129908.232430
1377366.76779863,1129732.88520695,1377366.767800,1129732.885210
1377442.28863193,1129586.18381804,1377442.288630,1129586.183820
1377524.75390977,1129487.22548471,1377524.753910,1129487.225480
1377650.62196530,1129390.00326250,1377650.621970,1129390.003260
1377812.94835420,1129302.32965140,1377812.948350,1129302.329650
1377990.89974305,1129247.64215139,1377990.899740,1129247.642150
1378064.68446527,1129210.31576249,1378064.684470,1129210.315760
1378184.47613198,1129048.85742916,1378184.476130,1129048.857430
1378263.46918753,1128938.61437361,1378263.469190,1128938.614370
1378290.37890972,1128876.98242916,1378290.378910,1128876.982430
1378290.37890972,1128771.94770694,1378290.378910,1128771.947710
1378271.28168751,1128677.32965139,1378271.281690,1128677.329650
1378264.33724304,1128562.74631804,1378264.337240,1128562.746320
1378252.18446529,1128491.56576250,1378252.184470,1128491.565760
1378251.31640972,1128415.17687361,1378251.316410,1128415.176870
1378240.89974305,1128315.35048473,1378240.899740,1128315.350480
1378242.63585418,1128280.62826250,1378242.635850,1128280.628260
1378299.92752083,1128172.12131804,1378299.927520,1128172.121320
1378331.17752086,1128098.33659582,1378331.177520,1128098.336600
1378392.80946527,1128015.00326249,1378392.809470,1128015.003260
1378407.56640972,1127937.74631806,1378407.566410,1127937.746320
1378390.20529863,1127859.62131806,1378390.205300,1127859.621320
1378363.29557638,1127778.02409583,1378363.295580,1127778.024100
1378300.79557639,1127737.22548473,1378300.795580,1127737.225480
1378122.84418748,1127699.03104027,1378122.844190,1127699.031040
1377963.12196529,1127659.10048473,1377963.121970,1127659.100480
1377874.58029862,1127652.15604027,1377874.580300,1127652.156040
1377755.65668750,1127617.43381806,1377755.656690,1127617.433820
1377655.83029863,1127616.56576249,1377655.830300,1127616.565760
1377531.69835417,1127668.64909583,1377531.698350,1127668.649100
1377388.46918750,1127679.93381804,1377388.469190,1127679.933820
1377332.91363198,1127670.38520694,1377332.913630,1127670.385210
1377266.94140972,1127620.90604027,1377266.941410,1127620.906040
1377212.25390972,1127562.74631806,1377212.253910,1127562.746320
1377191.42057636,1127490.69770695,1377191.420580,1127490.697710
1377171.45529865,1127449.03104027,1377171.455300,1127449.031040
1390434.71484725,1139222.66385277,1390434.714850,1139222.663850
1390402.16276394,1139147.14301944,1390402.162760,1139147.143020
1390331.85026391,1139066.41385277,1390331.850260,1139066.413850
1390209.45443058,1138983.08051944,1390209.454430,1138983.080520
1390130.02734724,1138877.61176944,1390130.027350,1138877.611770
1390077.94401392,1138736.98676945,1390077.944010,1138736.986770
1389955.54818058,1138578.13260278,1389955.548180,1138578.132600
1389847.47526392,1138430.99718611,1389847.475260,1138430.997190
1389714.66276391,1138273.44510277,1389714.662760,1138273.445100
1389620.91276389,1138125.00760278,1389620.912760,1138125.007600
1389541.48568055,1137992.19510278,1389541.485680,1137992.195100
1389186.01693058,1137880.21593612,1389186.016930,1137880.215940
1389165.18359724,1137858.08051945,1389165.183600,1137858.080520
1389150.86068057,1137820.32010277,1389150.860680,1137820.320100
1389180.80859724,1137760.42426945,1389180.808600,1137760.424270
1389248.51693057,1137714.85135277,1389248.516930,1137714.851350
1389275.86068054,1137665.37218612,1389275.860680,1137665.372190
1389265.44401392,1137563.80968611,1389265.444010,1137563.809690
1389236.79818054,1137441.41385278,1389236.798180,1137441.413850
1389271.95443055,1137361.98676944,1389271.954430,1137361.986770
